title,author,published_year,isbn13,pages,description
Pride and Prejudice,Jane Austen,1813,9780141439518,432,"A romantic novel about Elizabeth Bennet and her dealings with issues of manners, upbringing, morality, education, and marriage in the society of the landed gentry of early 19th-century England."
To Kill a Mockingbird,Harper Lee,1960,9780060935467,376,"A novel about the serious issues of rape and racial inequality told through the eyes of a young girl in the American South during the 1930s."
1984,George Orwell,1949,9780451524935,328,"A dystopian social science fiction novel about a society under totalitarian rule where independent thinking is a crime."
The Great Gatsby,F. Scott Fitzgerald,1925,9780743273565,208,"A novel about the American dream and the excesses of the Jazz Age, following the mysterious millionaire Jay Gatsby and his obsession with Daisy Buchanan."
Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,9780747532699,223,"The first novel in the Harry Potter series, about a young wizard who discovers his magical heritage on his eleventh birthday."
The Catcher in the Rye,J.D. Salinger,1951,9780316769174,277,"A coming-of-age story following teenager Holden Caulfield as he experiences alienation and rebellion in 1950s New York."
Lord of the Flies,William Golding,1954,9780571056866,225,"A novel about a group of British boys stranded on an uninhabited island and their disastrous attempt to govern themselves."
The Handmaid's Tale,Margaret Atwood,1985,9780385490818,311,"A dystopian novel set in a near-future New England where a totalitarian state subjects fertile women to child-bearing slavery."
Beloved,Toni Morrison,1987,9781400033416,324,"A novel about the legacy of slavery and its psychological impact, following a former slave haunted by the ghost of her deceased daughter."
One Hundred Years of Solitude,Gabriel García Márquez,1967,9780060883287,417,"A landmark work of magical realism chronicling seven generations of the Buendía family in the fictional town of Macondo."
The Kite Runner,Khaled Hosseini,2003,9781594631931,371,"A story of friendship, guilt, and redemption set against the backdrop of Afghanistan's tumultuous history."
Life of Pi,Yann Martel,2001,9780156027328,460,"A philosophical novel about a young Indian boy stranded on a lifeboat in the Pacific Ocean with a Bengal tiger."
The Book Thief,Markus Zusak,2005,9780375842207,584,"Set in Nazi Germany, this novel tells the story of a young girl living with foster parents who steals books and shares them with others."
The Alchemist,Paulo Coelho,1988,9780061122415,163,"A philosophical novel about a young Andalusian shepherd's journey to the Egyptian pyramids in pursuit of his personal legend."
Gone Girl,Gillian Flynn,2012,9780307588364,432,"A psychological thriller about the disappearance of a woman and the subsequent media frenzy surrounding her husband."
The Girl with the Dragon Tattoo,Stieg Larsson,2005,9780307454546,590,"A crime thriller about a journalist and a computer hacker investigating a wealthy family's dark secrets."
The Help,Kathryn Stockett,2009,9780425232200,544,"Set in 1960s Mississippi, this novel explores the lives of African American maids working in white households during the civil rights movement."
Where the Crawdads Sing,Delia Owens,2018,9780735219090,384,"A coming-of-age mystery novel about a young woman who grew up isolated in the marshlands of North Carolina."
Educated,Tara Westover,2018,9780399590504,334,"A memoir about a woman who grows up in a survivalist family in rural Idaho and eventually earns a PhD from Cambridge University."
Becoming,Michelle Obama,2018,9781524763138,448,"A memoir by the former First Lady of the United States, chronicling her life from childhood through her years in the White House."
